Customer,Finder
,"আগস্ট ১০-১৩, ২০১৭ ফাইন্ডার মেগা অফারে পাচ্ছেন অবিশ্বাস্য ছাড়! ভয়েস ট্র্যাকিং ডিভাইস পাচ্চেন মাত্র ৫০০০ টাকায়। ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭৫০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। মোটর সাইকেল বা সি এন জি অটোরিক্সার জন্য ডিভাইস ৬৫০০ এবং মাসিক সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
1964870827,
,"thanks sir, we will call you soon"
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭৫০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। মোটর সাইকেল বা সি এন জি অটোরিক্সার জন্য ডিভাইস ৬৫০০ এবং মাসিক সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
ohh,
thats great,
monthly fee koto apnader?,
,500 for car and 400 for bikes
set up fee?,
,Free in Dhaka and Chittagong
thats great,
ring road ei office?,
kalke ki set up kora jabe,
?,
,thats great
,ring road ei office?
,kalke ki set up kora jabe
,?
ok then saturday we can do that,
my cell no# 01717430880,
,"Sure sir, we will call you"
ok no problem,
vai,
working hours ta aktu janan,
ami tahole ashbo,
gps ta aktu emergency,
,10-6 pm
apnara bolsilen call diben. but call pai nai,
,"sorry sir, we will call you tomorrow"
ok please,
then it will be a great help for me,
thanks in advance,
,"We are going to launch a special offer from 10-14th instant, we are suggesting to grab that"
what is that offer?,
can i let it know?,
,You can avail the device at only BDT 5000
but in previous you told me,
no installation fee,
only monthly 500tk,
now installation fee needed?,
,"No this is device price, which is around 7000 normally"
,Installation free is separate thing
,"There is no installation fee for Dhaka, Chittagong and Jessore"
i see,
so device mendatory,
and,
need 5000tk,
,For this offer only
i see,
ok,
,
Chittagong contact number ta diben,
,"01811416647, Mr Ahmed, Cht"
Any contact number Chittagong,
,"01811416647, Mr Ahmed, Cht"
"Good Day, Contacted with you customer service in the provided number almost 2 weeks back; as i want to avail ur service. I was promised that sales team will call me back. But still waiting for it. What is your average waiting period ? Would highly appreciate if sales team can revery in the below detail: Name: Zaheed Adnan Khan Cell: 01755689766 Regards",
,"আমরা গাড়িতে একটি ডিভাইস ইন্সটল করে দেই, যার মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। বিস্তারিতঃ০১৮৪১ ৩৪৬ ৩৩৭ অথবা আপনার নাম্বার আমরা কল করব।"
Hello; I m using finder service for a while now and happy. Suggestion considering current scenario of BD and abroad bring a child safety device (GPS tracker / locator) of very small size and possibly waterproof and rubbarized. Should be a bit if u can find a good offer. Thanks.,
,"Thanks sir for your kind feedback and suggestion, actually we have already collected some child trackers and some other type of portable devices which are testing at our R&D. We will launch these soon after completion of proper testing. Please stay with us for further update."
Great ! Thanks for the response. Looking forward to it.,
,
দাম কত আর মসিক ফি কত,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭৫০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। মোটর সাইকেল বা সি এন জি অটোরিক্সার জন্য ডিভাইস ৬৫০০ এবং মাসিক সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
2731011314,
1731011314,
,"Thanks sir, we will call you soon"
,
"হ্যালো, অাচ্ছা অটোরিকশা তে কি লাগানো যাবে?",
,Hello! Welcome from the Finder GPS Tracking Team! You can call us at 09606346337 or provide us with your number so that we can call you.
Hello! Welc,"ji sir, jabe"
Balance koto porba.... Monthly charge koto porba... monthly charg chara ke kno option aca?,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭৫০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। মোটর সাইকেল বা সি এন জি অটোরিক্সার জন্য ডিভাইস ৬৫০০ এবং মাসিক সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
01933896596 ame o chasta korbo...phone dawar urgent,
,"Thanks sir, we will call you soon"
R o kechu iinformation dorkar c lo,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। বাইকের জন্য ডিভাইস ৫৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। বিস্তারিত তথ্যের জন্য যোগাযোগ করুন ঃ 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা এবং চট্টগ্রাম অফিস:- 01811-416647. অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
Please tell me all details and price for Car.,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। বাইকের জন্য ডিভাইস ৬৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337. অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
system ta & cost ta janaben pls?,Hello! Welcome from the Finder GPS Tracking Team! You can call us at 09606346337 or provide us with your number so that we can call you.
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭৫০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। মোটর সাইকেল বা সি এন জি অটোরিক্সার জন্য ডিভাইস ৬৫০০ এবং মাসিক সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
tracker er price r maintain cost kmn hobe?,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। বাইকের জন্য ডিভাইস ৬৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337. অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
,Call 09606346337 for a deal
i need 2 tracker device .... any discount ?,
it too high price,
,Our Sales will call you if you provide your number. They might have a discount which we do not have access to
01793010003 but not now if possible tomorrow morning ....,
,"okay sir, we will call you soon"
,
,Offer
Hello apnader gps tracking package ki 7500 takai shob thakbe mane geofencing car shut down and real time tracking and dhaka ar baire o ki ar service deoa hoi and apnader service person ki dhakar baire gie gps car a lagate parbe Manikganj a ase shei khetre total service and installation cost die total cost koto hote pare ?,
,"sir apnar number ti din, amra jogajog kore bistarito janabo, apnar kono question thakle tao janano hobe"
01684596095 it will be good the sooner you can do it thanks,
,"Thanks sir, we will call you tomorrow"
I would like to know the details of anti-theft package,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। বাইকের জন্য ডিভাইস ৫৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
device fit korar jonno ki dash board khular lagbe?,
,ji sir
Oh. Tahole problem hobe,
,sir apnar number ti dile amra bistarito janate partam
bike e setting korte charge koto lagbe?,
ar month e kono charge lagbe ki?,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। বাইকের জন্য ডিভাইস ৬৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337. অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
hi,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। বাইকের জন্য ডিভাইস ৬৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337. অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
Hi... I am Interested to use Finder GPS Tracking in my Bike. Can you pls tell me the Detail Information about it??? how much its cost & is there any Monthly charge Included with it???,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। বাইকের জন্য ডিভাইস ৬৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337. অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
bike,
,Hello! Welcome from the Finder GPS Tracking Team! You can call us at 09606346337 or provide us with your number so that we can call you.
Bike sujuki gixxer sf,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭৫০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। মোটর সাইকেল বা সি এন জি অটোরিক্সার জন্য ডিভাইস ৬৫০০ এবং মাসিক সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
6500 onk besi iktu kom hola,
kora jetoo,
,"apnar phone no din, aamra jogajog korbo"
hlw,
,Hello! Welcome from the Finder GPS Tracking Team! You can call us at 09606346337 or provide us with your number so that we can call you.
1623103202,
Bike sujuki gixxer sf,
office ta koi??,
,"অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা।"
Price koto and kivabe nibo...,
,ধন্যবাদ আপনার আগ্রহের জন্য। কালবৈশাখী অফার (১৯ -২১ এপ্রিল): গাড়ির ডিভাইস মাত্র ৭২৯০ (সার্ভিস চার্জঃ ৫০০) আর বাইকের জন্য ৬০০০ টাকা(সার্ভিস চার্জঃ ৪০০)! বিস্তারিতঃ ০১৮১৯৩৪৬৩৩৭(২৪/৭) অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।
Ok thx…,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭৫০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। মোটর সাইকেল বা সি এন জি অটোরিক্সার জন্য ডিভাইস ৬৫০০ এবং মাসিক সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
Apnader ki proti mase charge dite hobe,
,Ji sir
monthly cost koto,
Ar Device ki apnara set kore die jaben naki amake aste hobe,
,আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭৫০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। মোটর সাইকেল বা সি এন জি অটোরিক্সার জন্য ডিভাইস ৬৫০০ এবং মাসিক সার্ভিস চার্জ ৪০০ টাকা।
,"ji sir, amra technician pathiye install kore dibo"
ok,
,
motor bike er jonno koto porbe,
ar montely koto,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭৫০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। মোটর সাইকেল বা সি এন জি অটোরিক্সার জন্য ডিভাইস ৬৫০০ এবং মাসিক সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
"I want to install it in my car, how much it will cost, monthly charges and most important is that i have submitted it for name transfer now papers is other name is it possible to install",
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। বাইকের জন্য ডিভাইস ৬৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337. অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
Is it possible to install if parers is not in my name,
,"we need the blue-book's copy sir, the owner should be informed about the service"
,
Gps.tar price koto,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন। আমাদের রেগুলার প্রাইস গাড়ির জন্য ৭০০০ টাকা এবং মাসিক সার্ভিস চার্জঃ ৫০০ টাকা। বাইকের জন্য ডিভাইস ৬৫০০ এবং সার্ভিস চার্জ ৪০০ টাকা। ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337. অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
,
,Offer
,
,"ফাইন্ডার ২০০৯ থেকেই ট্র্যাকিং সেবা দিয়ে আসছে। আমাদের এই ডিভাইস আপনারা গাড়ি, মোটর সাইকেল, মাইক্রোবাস, বাস, ট্রাক এমনকি সিএনজিতেও ব্যবহার করতে পারবেন। ডিভাইসের মাধ্যমে আপনি কম্পিউটার বা মোবাইল দিয়ে দেখতে পারবেন গাড়ির অবস্থান, গতি, সারাদিনের গতিপথ। এমনকি নিজেই বাসা থেকে বন্ধ করে দিতে পারবেন গাড়ির ইঞ্জিন।"
,
,"ডিস্কাউন্ট বা বিস্তারিত তথ্যের জন্য যোগাযোগ করুন: 09606 346 337, 01819 346 337, 01841 346 337.অফিসঃ ২৬-২৭, রিং রোড, আদাবর, ঢাকা। অথবা আপনার ফোন নাম্বার দিন যাতে আমরা যোগাযোগ করতে পারি।"
naogaon location plz...,
,sir apnar number ti din amra jogajog korbo
1740127289,
,we will call you soon
Plz reply with yr installation & monthly charges. Thanks.,
